questionText,answerText
"I've got so much anger. I don't know how to control myself. My girlfriend screams at me all the time, and sometime I don't know how to deal with life. I'm very depressed and angry. I feel lost.","Hi Campbell River,You say you have anger but you don't mention how it shows. Or maybe it doesn't. Are you aggressive with your girlfriend? Since you mention depression, I wonder if you're bottling it all up somewhere instead of letting it show at all. If this is the case, I admire your ability to not lash out at someone who's hurting you. However, if they are totally unexpressed, anger turn inward and shift into depression. When sheyells at you, what do you do? Is this the moment that you feel the most angr"
I've been getting told lately by my partner that its embarrassing that I'm so antisocial around his family and friends. I believe it's because I'm not as social as him.,"Hi Buffalo, I think you're right; your partner's reactions are about him. I have to say it's a cruel thing to say to someone you love...that you're ""embarrassed by them"". The subtext says ""You're not good enough"", and I love that you can reject that false message.You don't have to be different for anyone. If he can't accept you for who you are, what is he doing with you? Your social habits (unless they are extreme...like you refuse to go anywhere) aren't a reflection on him; it's just you being you. Also, a"
"I met a guy a while ago, and I can't stop thinking about him. I feel like I love him, but I don't think I know him. What if he is not who I think he is? I cry sometimes thinking someone is going to be with him or that he has a girlfriend. I don't know, am ","Keller, it sounds like you're living this relationship in your mind, instead of in the real world. You can get answers to your questions by talking to him...getting to know him will answer all the curiosities you have. You're asking the questions in your head instead of being in the friendship.So what is it that gets in the way of actually asking the questions and getting to know him? Fear of rejection? Fear of something else? If you have fear that keeps you from having fulfilling friendships, I recommend a"
"A girl and I were madly in love. We dated for over a year and were even talking about marriage and future plans together. She moved away for school, and we attempted a long distance relationship. We eventually broke up. It's been a year now, and I still ha","Hi Boise, I'm sorry that you've lost this love. The fact that you were planning marriage and a future tells me that you meant something very special to each other at that time. It's different now...you're not together anymore, but you can't accept this, right? Good for you for identifying that this situation is damaging your life. You've been grieving for longer than you were together. Oh, but really you've not been grieving...you're stuck still loving her instead of moving forward. Unrequited love is a rec"
I would like to be able to have more positive relationships in the present.,"Hi Chapel Hill,I like your goal; research is telling us more and more that one of the most important keys to happiness is having healthy relationships. If we feel successful in that area, it can give us the confidence and hope to tackle anything life throws at us.There are personal barriers we all have to having healthy relationships; it's our ""stuff"", our ""baggage"" (not a steam trunk, right...you have a cute little Gucci bag!).You hint that people may have hurt you in the past. Maybe fear says ""stay away.."
"My fianc and I have almost the best relationship every girl wants, but lately it's changed. I get less attention and little to no intercourse. He works a lot and goes to the gym a lot (he's a football player for an indoor league), but he has no time for me","Hi Rockford, While no relationship is ""perfect"", and it's natural for the passionate beginnings of a relationship to lessen with time, because we have established the trust and love needed as a foundation and we don't have to smother each other with attention anymore, your situation sounds like something different.""He has no time for me""... yet you don't fight. Hmmm...Is it that you don't fight because you don't bring up what's bothering you? Are you avoiding conflict? Many people do. What do you fear would"
"They don't go away, and I feel like I'm going crazy. Does that ever stop? Can it be a symptom of medication?","This can certainly be a side effect of some medications. If the voices are so powerful that you can not sleep or they are constantly present, you shouldn't wait any time, but go and see your doctor straight away."
I would like to be able to have more positive relationships in the present.,"Remember, the past no longer exists and the future is just an illusion as we don't know what will happen tomorrow, so take the present as your guide. That is all we can do, so keep saying this to yourself and try to help someone each day. The happiness is helping others to feel a bit better."
"Im in love with my friend who is also a girl. I fell in love with her in a few months. That was my first love. We used to talk for the whole day and night over the phone and on Facebook. I thought she had the same feelings for me, but I was wrong. I always","It all depends how old you are and what a particular situation is. You may be feeling very close to this friend and mistake that feeling for sexual feeling, or the feelings may be real. This is something you will find out for yourself, however, it definitely doesn't mean that you are a lesbian just because you have those feelings for this particular person. Time will tell, but if you need to discuss this, you could see your school councelor (if you are at school/university) or find a LGBT group with meeting"
"They don't go away, and I feel like I'm going crazy. Does that ever stop? Can it be a symptom of medication?","Since you realize that hearing voices in your head is not usual for you, then definitely there is a problematic situation happening within your awareness of who you are.if you recently started taking a new drug or increased dosage of one you already were taking, and the voices started shortly after, then yes, it is possible medication created your problem.Start by telling whoever gave you the presecription, about the problem you're having.""Crazy"" has some flexibility as to whether someone is this way or not"
"I need answers to my anger, possessiveness, and urges. I am angry all the time. I push people away so much that I actually blow up on people now because they ask me how my day is or was. I have a possessiveness to someone who is not even mine. I have these","What result are you hoping to get from the behaviors you describe?Maybe start by comparing the results you see yourself receiving from your current interactions, with how you would wish to feel from relating to others.Since you ask, ""what is wrong with me?"", there is a disconnect between what you are doing and what you'd like in return.This is true even with imagining doing harm to others.What are you really trying to accomplish for yourself by hurting others?Besides the unethicalness and criminality of thi"
I would like to be able to have more positive relationships in the present.,"Would you describe yourself as sensitive to your surroundings and emotions?If yes, this may explain why letting go of past problems, is itself a problem.The dynamic of living one day at a time and letting go of past problems, is more imaginary and wishful than real.It is a popular notion of TV, FB, and media.Doing the letting go, has nothing to do with what is actually possible to do.Problems are not ""let go"", they are resolved somehow.Living one day at a time isn't possible for anyone who has consciousness"
"My fianc and I have almost the best relationship every girl wants, but lately it's changed. I get less attention and little to no intercourse. He works a lot and goes to the gym a lot (he's a football player for an indoor league), but he has no time for me","Your situation sounds a little painful.Have you brought up any of these topics for discussion with your fianc?Now is a good time for finding out if and how your future husband is interested and addresses the way you are feeling.Until the two of you open up what bothers you, all you or anyone who talks to you about the situation, can do is take guesses as to what is driving your finance's behaviors.Also, in the moment of when your fianc texts you words you find surprising or startling, you can tell him this."
"My husband and I are in a terrible place. Part of me wants to fix it, but then I'm caught up with not knowing how and not being able to communicate my feelings to him because he always feels I'm blaming him. Sometimes I am because the feelings of distrust ","You may be pressuring yourself to be the one person who fixes the relationship. This is impossible because the relationship belongs to both of you.Has he told you whether he feels about himself that how he interacts with you, is contributing to problems in the couple?Is he willing to understand what you're asking of him, without shutting down with whatever he is feeling when he feels blamed?Your feelings of distrust are the natural outcome of not being properly heard and understood. He's not willing to list"
"My boyfriend of five years told me he cheated on me during our relationship after we broke up. We've since gotten back together and are trying to make it work. I don't know how to trust him now, but I really want to make it work, and it seems like he does ","Hi Michigan,This is a common issue. How do you trust after you know someone is capable of hurting you? I totally get that it's hard, and I believe it's worth it if you truly love and want to be with someone. You can be stronger in the scarred places.I would suggest that you each have a separate job to do to rebuild this trust. It is definitely possible to rebuild it, because anything is possible if both people want it enough.Your boyfriend came clean to you...this is pretty crucial. He chose to honour your "
"I have been married for ten years. My husband is 29 years my senior. We have a young daughter. Ever since she was born, my husband has ""shut down."" We have no intimacy; he doesn't even kiss me. I've told him how I feel for years, and he swears he loves me ","Hi Smyrna,Your husband is avoiding dealing with this problem. I understand how lonely you must feel, not only sexually, but emotionally too.From what you describe, it seems that he wants tobe there for you, but he clearly has barriers to engaging fully around this issue. My hunch is that he doesn't know what to do or how to talk to you. But I think he does have something to say.Your husband is 29 years older and you've been together for ten years...that puts you at around thirty perhaps and him at almost si"
"I am divorced and happily remarried. Our blended family of children are in their 20s. My youngest, age 20, continues to call me crazy and favors her dad. He was abusive to me, and I left with injuries. He never wanted kids, and I did. He paid child support","Hi, I understand what you're going through. Your daughters favor him because he has done no wrong in their eyes. Im guessing they lived with you? Growing up I was the same way.. I favoured my dad, thinking he has done no wrong. He also abused my mother multiple times, and that never came to mind. kids like their other parent more mainly because they don't see them everyday, and they usually buy them everything they want, because all he does it pay child support (by force) and then spoil their kids to make t"
I constantly have this urge to throw away all my stuff. Its constantly on my mind and makes me feel anxious. I dont sleep because Im thinking about something I can get rid of. I dont know why I do it. I started years ago when I lived with my dad then I sto,"Since you wrote that you noticed a change in your throwing away urge when you changed with which parent you lived, would you feel that throwing away things is connected to wanting to be done with certain areas of influence with either parent?Play in your mind with the metaphor of ""throwing away"" and whatever associations you feel toward this. Are you feeling alarmed or freed, by throwing away things? I'm only suggesting these, not telling you that they apply necessarily.Anxiety comes up when people feel hel"
"The sounds of eating and breathing gives me headachesmostly mouth breathing and snoring. It makes me angry, and I want to solve it myself.","Probably good to know in what type of situations you are, in which you are hearing mouth breathing and snoring.If you're sleeping beside your partner who does these actions, would have a different response than if you overhear mouth breathing and snoring from a family member who is napping on the couch and you are walking past them on your way to take a snack in the kitchen.Basically, if the person who does these actions which bother you, start by telling them.Depending on whether they are empathetic to how"
"I'm a teenage girl. I don't know if I'm straight, bisexual, or gay. I've been straight all my life, but a sudden rush of questions have come over me, and I don't know anymore.","Hi Brentwood, While our society tends to want to put us into categories...slots...when it comes to sexuality, because this is nice and neat and convenient...many people find that they don't fit perfectly into one or the other. All you have to do is exactly what you're doing; be aware of yourself and allow yourself to explore these thoughts and emotions both alone and in connection with a safe partner. The people who love you will continue to love you as you sort through this. You can resist the temptation t"
"I have been dating my boyfriend for a month, and we want a baby. We don't work or drive, and we haven't talked to our parents. What should we do?","Hi Athens, When a teenager wants to have a baby, it's usually for a specific, and not healthy, reason. Do you maybe hope that a baby will cement your relationship? It doesn't work that way. Do you yearn for a person who will love you deeply? Babies don't give to us; we give endlessly to them. I urge you to talk to someone you trust about why you want to speed up your life by being a parent before you are fully grown emotionally. A relationship that is one month old is not stable enough to support a change l"
"Recently, I had a close call after delivering my second child (blood clot followed by internal bleeding and several blood transfusions). It was a close call. I am currently undergoing medical treatment because of the event, and I am constantly afraid the w","Hi Meriden, it's natural that after a serious scare like that you would have some anxiety and fear. This fear is helpful to some extent, because it will assist you in taking care of yourself and not taking unnecessary risks with your health. You can say ""thanks very much"" to fear for trying to protect you, and then you can take steps to reduce it. Right now, fear is working overtime and stealing your quality of life. You can work to put it into perspective.I invite you to imagine that your job is to convinc"
"My brother just broke up with his girlfriend. While they were dating for the past two years, her son spent the weekends with me and my mother. Now she doesn't think her son should have any interaction with us. How should we approach the situation? Is she d","Hi Tampa, I get that this is a loss for all of you; you have bonded with this child as a result of the significant time you have spent with him. He's a lucky boy to have had you all taking care of him. Certainly, it seems that his mother might not be making the best decision for her son; if you are willing to maintain the relationship, it would be good for him to still have that contact. In my book, the more people loving a child, the better.But, ultimately, she has the right to make these decisions. To opp"
"I'm a teenage girl. I don't know if I'm straight, bisexual, or gay. I've been straight all my life, but a sudden rush of questions have come over me, and I don't know anymore.","Being open minded about the type of sexual connection which feels true and real, is a solid starting point.Having questions is a very valuable way of more clearly defining your sexuality.Write one or two of your questions if you'd like a more specific focus to your general search about your sexual preference."
"I'm almost never happy. Half of the time, I don't feel anything. I find it easy to make myself feel nothing. I know I push people away because its easier. I just want answers. I'm sick of feeling this way. Its ruining my relationships with people.","Hi Loyal, This is a common question. I suggest that you not diagnose yourself (only a physician can do that), but the symptoms you mention are certainly common signs of depression; rarely happy, emotional numbness, hopelessness, isolation. Depression is very common. Research suggests that one in three people may experience it in their lifetime and at any one point, ten percent of adults may be experiencing it. Most therapists are very good at spotting the signs and treating accordingly, although only a phys"
She is living with her boyfriend of seven years. He is in therapy for depression and social anxiety. He hasn't worked in all this time.,"Hi New York, There is no need for shame here; no one's done anything wrong! A pregnancy is a glorious gift to be celebrated.I wonder what gets in the way of you celebrating your daughter's pregnancy?Are they excited about it? I bet they are. They've been together for seven years. Even if it caught them off guard, the best thing for them and this new baby is to celebrate the joy of this new little person and their growing family. If you are happy for them and help spread their joy, how marvelous would that b"
"I've been feeling worthless, unaccomplished, and so frustrated. I want to break things, hit myself, run away, kick, scream, and cry. I just want to be happy and outgoing again. I want to be able to take care of my daughter and live comfortably.","Philadelphia, there is help out there. For your daughter's sake, start somewhere. Feelings are only that; your worst fears about who you are are only based on a few moments that haven't gone well. Depression is so treatable, but you have to seek treatment from a professional.Here's a quick exercise for you to do that can show you how therapy might work... fear is telling you the worst possible story of your life, right? So... if there was an opposite story...the very best story that someone could tell about"
"I got involved with my best friend who is married but has been very unhappy for the last five years. We both fell in love and have been together for eight months. He left the house and filed for divorce. He decided to tell her about our relationship, and s","Hi Miami, I feel your sadness; you might have planned a future with your best friend. We live in a world where we are constantly exposed and connected to people who intrigue us and to whom we might feel a connection. I believe that our ability to protect our relationships from the risks involved here has not developed fast enough.Your friend came face to face with what leaving the marriage meant...huge changes and many intense emotions. He is wise to consider his choices carefully; especially if you have ch"
"I think I'm annoying and bothersome, but my girlfriend says I'm just fine. I don't think so, I think I'm stressing everyone else out","I'm glad to hear you have friends and that your friends say they like you.Trust your own sense of who you are which tells you that something feels uneasy within yourself.Is the friend who says you're ""just fine"", very familiar with who you are?""Friend"" is a broad category.She may not know you as fully as you know yourself.Basically, it is possible to be ""fine"" and have some inner stress.Follow your own thoughts and observations to more fully learn about yourself in ways your friend may not notice or be awar"
I have been dating my ex-boyfriends cousin for a few years. We have gotten pretty serious. He wants to cut it off because people are giving him a hard time that our kids will be related to my ex.,"Does your boyfriend agree with the other people's opinions or is the problem that he feels that doing what they want will be an easy way to stop hearing them say what he doesn't like hearing?Talk through whether he actually believes what the others are telling him or figures that complying will make them stop bothering him.Once the two of you understand what, if any, the differences are in the opinions you each have on the double relationship status, you'll be more clear whether the differences can be align"
"I'm almost never happy. Half of the time, I don't feel anything. I find it easy to make myself feel nothing. I know I push people away because its easier. I just want answers. I'm sick of feeling this way. Its ruining my relationships with people.","Maybe you have depression.The name of your condition matters much less than the descriptions you wrote of how you feel.Since you've observed how you sometimes interact with people and realize you aren't happy with the result, you've a very solid starting point for reflecting on your deeper wishes in relating to others.Start with asking reasons of yourself about the puzzling aspects of how you're engaging with others.Theorizing as to ""why"" you feel that pushing people away is ""easier"", and easier than what?G"
She is living with her boyfriend of seven years. He is in therapy for depression and social anxiety. He hasn't worked in all this time.,"Congrats on your upcoming grandchild!Does your daughter want you to break news of her pregnancy, to the family?Talk with your daughter first, whether or not she would like you to tell other family members.Also, given the other facts you mention in your post, if household and financial management are areas you feel your daughter is vulnerable, then bring up these topics too.Stay open minded about your daughter having views which are different from yours."
"When I go to school, I feel like everyone is judging me, even my friends. I get overwhelmed which these thoughts and sometimes cannot get out of what I call a deep hole of thoughts. I barely go to any of our school dances because of all of the people. Not ","It sounds like a couple of things are going on here; you are noticing yourself feeling judged by the people around you and that you are avoiding social activities and in addition to this you have intrusive thoughts that you are being judged, even when alone. It sounds like these thoughts are pretty distressing and you are wondering what is happening to you. Many people who come to therapy experience intrusive and distressing thoughts of various kinds, which often influence their behavior in ways that they m"
"I love him so much, and I don't know what to do.","Hi Savannah, This is a pretty common issue; one person feels that they are doing a great job of being loving, yet their partner doesn't feel loved. There's a great book ""The Five Love Languages"" by Gary Chapman. He explains that there are five main ways to give and receive love, but we don't necessarily all speak the same ""love language"" as our partner. You might feel that by going out to work and earn money, you're being loving, but if your partner's main love language is quality time, you're not hitting t"
"He owns his own business. Sometimes, he stays out all night but doesn't tell me. We have a son together, and I get to stay home with him. He says I complain too much about what he's doing. We've been together a year and a half. I got pregnant after being t","Hi Oklahoma, Listen to him when he says this is how he is. Your boyfriend's behaviours are about him; not you. At the start of a relationship it's easy to be loving and attentive; but it takes years to really get to know someone deeply. With time, people reveal who they are.For some reason, he is giving himself permission to detach from you and your son. This could be for several reasons; he may be avoiding intimacy and connection, he may be avoiding commitment, he may fear he isn't enough, or (and there is"
I've been going through a rough time lately. I been into nothing but women. Ive never thought about men until a week ago. Im very upset and depressed about this. It's not normal to me. I looked at gay porn more than once to prove that Im not gay. I get the,"Hi Brookfield, It can be unsettling when we feel something as fundamental as our sexual orientation shifting. I like that you're honest enough with yourself to say ""I'm struggling with this"". To accept that there is a question is a brave place to be. And...it doesn't necessarily mean you're gay.Unfortunately, we live in a culture that wants to put people in slots...male or female, straight or gay...we tend to not like those grey areas so much as a culture. The truth is that, if we grew up in a society where"
"He owns his own business. Sometimes, he stays out all night but doesn't tell me. We have a son together, and I get to stay home with him. He says I complain too much about what he's doing. We've been together a year and a half. I got pregnant after being t","Congrats on the birth of your son!Your situation sounds painful, lonely, and isolating.And, these features are eating away at your self-confidence.Start by believing in yourself. The feelings and ideas you describe here would only be arising from within you because they are at the very least, partly true.Ask your boyfriend if he is willing to listen and understand your point of view. If he does, then hopefully the two of you will more easily talk with one another about the truth of feeling overwhelmed by th"
I've been going through a rough time lately. I been into nothing but women. Ive never thought about men until a week ago. Im very upset and depressed about this. It's not normal to me. I looked at gay porn more than once to prove that Im not gay. I get the,"Are you able to give yourself some peace of mind while you take the time to further address whether or not you are gay?Whether or not and to what degree a person accepts their sexuality, depends on dense factors such as the culture of your family, the beliefs about gay people with which you were brought up, and your own tolerance for being a unique individual.Examining these factors, whether inwardly by yourself, in online blogs and sites, or live with other people, requires patience and effort.The more you"
I don't know how to notice or express my feelings besides anger. That's really the only one i feel.,"Well, then give yourself some credit for noticing that you recognize at least one feeling that you have!What is your own theory as to what is difficult to know your feelings? Your answer will give you clues as to unearthing your willingness to be aware of the way you feel.Sometimes the family in which someone grew up, did all they could to stop the kids from knowing who they were.In some families there were very severe consequences if a child spoke up with an independent mind. By knowing where your difficul"
"I'm a little paranoid. My mind does get the best of me. One night, I put chairs under all of my door knobs because I thought someone might break in. I also think a lot, which is probably the reason for the paranoia. I can't stand loud noises, like the soun","Paranoid people don't realize they are paranoid. They believe their actions to be reasonable responses to potential threats.From what you write, you are aware that your actions may be understood as extreme.Instead of trying to fit your behavior into a negative psychological category, try seeing each of the behaviors you list here, as your own uniqueness.This way you will become more tolerant of what very well be your natural tendencies.If you are someone who needs a lot of time in quiet, then not liking lou"
"I love him so much, and I don't know what to do.","Does he tell you a reason as to why he feels you don't love him?Ask him this so you will clearly know his definition of ""love""."
"My life is completely normal, yet I feel empty inside. I feel as if I already know why I'm alive: to reproduce and die.","Are there any times or moments in which you feel other than ""empty""? Start with knowing the context of when you feel something other than empty.If there is no recent example, then in your mind, go back in time to think of when you felt something other than empty. Recall what you liked about this time, whether you were by yourself or with others, what type of activity you were involved at the time of non-emptiness.How did you come to your conclusion that your life purpose is to reproduce and die? If this is "
"He is verbally abusive. When he gets mad, he just yells at me. At times, I feel scared.","Good for you on recognizing your own feelings. Often in an abusive relationship, the person who is being abused, starts doubting themselves and starts tolerating, then accepting abuse.Marriage is based in love and feeling taken care of by the partner. Feeling scared is the opposite of this.If you feel ready, tell him the way you feel and pay attention to how willing your husband is to being aware that he yells and that you feel scared.If he has no idea of what you're talking about, doesn't want to understan"
"I think I'm annoying and bothersome, but my girlfriend says I'm just fine. I don't think so, I think I'm stressing everyone else out","""Where you put your attention is where you will go"". I forget who said this first, but it's very powerful. If all you think about and talk about is how annoying you think you might be, that will get annoying. Your intense self reflection is lovely; it will help you monitor yourself so that you're not affecting others negatively, but your alarm is going off too easily here and you risk having the opposite effect.You don't have to be perfect. She's with you, so she probably likes you as you are. She seems to "
"My fianc and I have almost the best relationship every girl wants, but lately it's changed. I get less attention and little to no intercourse. He works a lot and goes to the gym a lot (he's a football player for an indoor league), but he has no time for me","Hello, It doesn't feel good when it seems that your partner no longer cares or cares less for you, especially if your feelings have not changed. It can be scary, frustrating, and lonely. Have you tried talking to him about your concerns? I would suggest to start there. There may be several reasons for his actions, some of which may have nothing to do with how he feels for you.Learning about what is going on for him will likely answer your questions and, depending on his response, maycause some relief. Wheni"
"Something happened this summer that I cannot forgive myself for. When I think about what happened, I feel ashamed and guilty even though my loved ones forgave me.","What a beautiful discussion of guilt and shame Lynda offers! Those two demons start out as pesky and little when we are young, then grow with us to become quite formidable. I'd like to throw in a technique I learned from Randy Rausch (author ofThe Last Lecture)called The 3-Step Apology. I teach this important bit of wisdom to my clients when they need to apologize to someone else but more importantly when they need to forgive themselves.Yes, when we have trouble forgiving ourselves we sometimes forget that "
I would like to be able to have more positive relationships in the present.,"Staying present is an attitude most of us aspire to, and most of us have to work at itcertainly at first. Im here to tell you that living in the now or being mindful is a skill anyone can learn. Unfortunately, the only way to do it is to do it. What a paradox! But there are plenty of other skills that we are not born with: walking on stilts, riding a bike, swimming, and driving a car are good examples. You cant learn them by reading about them.Having said that, I can recommend two books on the subject: Eckh"
"I have been dating a guy for two years. I think I love him, but I don't know any more. I am in my late teens, and I have been living with him for most of our relationship. I have been talking to a guy friend, and I feel more loved by him than my boyfriend.","Hi Michigan, Relationships are so sparkly for a few years, and then things start to feel different. Most of the time, this is simply because we've pulled back from all the attachment-forming behaviours we did at the beginning. We stop talking a lot, because we have less to discover...we do less for each other and buy fewer gifts...spend less time together...all because we have already formed the love and attachment and we don't need to ""fill the gas tank"" as much. So, just because it feels different doesn't"
"Something happened this summer that I cannot forgive myself for. When I think about what happened, I feel ashamed and guilty even though my loved ones forgave me.","A lot of times it is not about forgiveness but learning from experiences. As an example, as a child we continously fall in an effort to learn how to walk. Then when we begin walking we know we have to put one foot in front of the other in order to move forward. Experiences allow us to grow, find a balance and what to do and what not to do in order to move forward. On the positive side you now know the consequences as for your actions not to take the same course. Forgiveness comes with time as you ""learn how"
"People have been calling me names, and I have had enough of it. I cannot stand it anymore I'm done. I have told someone this, and that is why I am writing this. The thoughts are awful.","It's sounds like you are feeling pretty overwhelmed with intrusive thoughts and are feeling very criticized by others as well. I think it is great that you are reaching out and I can tell that you want this to change. Working with a competent therapist may be a good option for getting some more clarity about what is going on, developing ways to cope, and eventually getting relief from these overwhelming experiences."
We live with my ex-partners sister and her husband. We have been there for five years now. They are Hispanic and talk to my daughter in their language. Sometimes they overstep their balance between aunt and uncle and reach into my role as a parent. They ne,"Hi New York, I'm happy to hear that your daughter doesn't know about her dad's addictions. Although you don't say how old she is,and I imagine that at some point in her life she will be ready to know the truth, I trust your instinct that now is not the time. Your ability to have clear boundaries about what is adult conversation and what is suitable for a child to know are really important here, and I can tell you're being appropriately protective and a thoughtful parent. As much as this helps your daughter,"
"I was in a situation with a guy. Hes my brothers friend and kind of like a brother to me. He invited me over to hang out, and then came on to me. I was instantly terrified to say no, and I gave in. I don't know what's wrong with me. I can't figure out why ","Hi Tennessee, There is nothing wrong with you. There are many good reasons why you didn't say no. You didn't say no because you were caught off guard and unprepared; there is no place in life that teaches girls or boys how to manage it when someone crashes a sexual boundary. You also live in a culture where girls are encouraged to be cooperative and not upset people, and to put the needs of other people first. You instinctively want people to like you, and people can be very coercive sexually. You said it y"
"Sometimes I can't stop thinking about life after death. I was raised in a religion that teaches that we will live on forever either in hell or in heaven. When I think of living forever (even if it is in heaven which should be good), I feel overwhelmed. I d","Hi California, What you're experiencing is indeed anxiety; it's very common. Through research we know a lot of things about how to reduce anxiety. I'll get you started and it's a great idea to connect with a therapist who can build on these ideas and get to know you well.It's natural to have random thoughts that unsettle us. Our brains are complex, wonderful things. Fearful and anxious thoughts are a part of this picture; their purpose is to prepare us for the future and to help us make sense of the past an"
"I have a problem with binge eating, especially during times of stress. I binge eat and feel so overwhelmed with shame and disappointment that I end up going to the gym and trying to exercise the calories off. I am in my late 20s, and I have been dealing wi","In dealing with an eating disorder you are far from alone. It is more common than you might think and tied to so many variables that it is easy for an individual to become overwhelmed in trying to navigate the influences of such variables. I have been working with individuals dealing with such challenges since 1998 and have found over the years that behavioral analysis is highly effective in helping you begin to isolate, understand and then be able to address many of these variable impacting your behavioral"
"We are the legal guardianship of our grandson. He has been acting out, and he wants to talk to his mom that has not talked to him since before last year. How are we to handle this?","Hi Boone, This depends a lot on his age and the situation. The younger the child is, in general, the more I would see this as your decision, not his. A child of any age should be listened to carefully about these matters, but just because a child has unresolved issues about a parent doesn't necessarily mean that having contact is a good solution.Some questions... Was the parent harmful to the child? Is the parent likely to be harmful to the child? How likely is it to be a positive experience? Do you have an"
"We had our first kid 15 years ago, and sex has been nonexistent ever since. It only happens every three or four months. We have been to counseling, and I have been told over and over again she will come around. She hasn't, and I'm intimately lonely! I thin","Hi Pocahontas, This is a painful situation. When you're in a relationship, you assume that you will continue to receive warmth and affection. When it dries up, it's a very lonely place. It's possible that there is an unaddressed issue in the relationship. It's also possible that your partner has hormonal issues, pain issues, sexual dysfunction or is asexual.There is no one answer here. Only you can decide what is right for you. But let me ask some questions to help you explore next steps:Aside from the sex,"
"I have been experiencing a lot of sexual tension with a lot of the guys that I talk to nowadays. I keep imagining having sex with them. I have never had sex before, nor have I had a boyfriend. I feel lonely and empty. I feel like my body is not okay, and I","Hi Montreal, I'm glad you wrote. What you're experiencing is normal. We're sexual beings. We have a built-in desire to connect sexually with others, because it feels good, to keep procreation going, and mostly to ""connect"" with other people, because connecting with others makes us feel fulfilled and valuable. Sexual desire is a healthy part of you. Maybe your body is telling you it wants to dive into that water and taste it instead of just staring at it? It sounds like you're beginning to explore yourself s"
"I self-harm, and I stop for awhile. Then when I see something sad or depressing, I automatically want to self-harm.","In a way, self-harm can present somewhat like an addiction. According to new research within the field of neuroscience there is a valid explanation for this. When a person cuts or uses other forms of self harm, the body produces endorphins to help make a person feel better. If a person was dealing with depression or high anxiety, that might be misinterpreted by the brain as a way to help oneself feel better and a new neural network or map might form (addiction) that would utilize this new behavior. Another "
I feel insecure in my life. I don't think my wife truly wants our relationship even though she says she does. I have turned to drinking to help relieve my repressed stress about this and other issues. I have had a drinking problem for a few years. I feel t,"Given the description you have posted here, it may be time to find someone to work with. First and foremost, look into working with someone who specializes in working with individuals with challenges surrounding drinking. This would need to be assessed first since if it has been ongoing, it may be making the situation worse and given the time it has been utilized as a coping mechanism, there is reason to believe that the structure of your brain may have been effected as has been demonstrated by current neur"
I avoid talking to him because he always makes me more upset. I can't be honest with him about anything because he is always rude to me.,"Hi Troy, I totally get this. It's a dilemma; you want your dad to know how he's hurting you but you don't feel safe enough to say anything to him. Your reaction is understandable; it's his responsibility as a parent to work harder than you to create that safe place for you to be open. But that's not who your dad is. Your dad is your dad, and waiting for him to change won't really help. Nothing you do can change your dad, but...there are things you can do for yourself and your relationship with him.While you"
"As a child, my parents injured my brother, so they went to prison. I was there when he had gotten hurt, but I can't seem to remember. I also can't remember being with them quite well. It's a blur.","It's important to know that there are counselors who are trained in working with survivors of trauma and you can get help. The ""blur"" in your memories is your brain's attempt to protect you from the experiences in your past. To recover them can be a slow process done by a trained professional that you trust. When you are ready and feel safe, those memories can be recovered and can be integrated with other memories. This will help to lessen the potency of the memory, help to make sense of what has happened, "
"I feel like I am internally screaming all the time. Externally, I am calm, but I have this intense, unidentifiable emotion constantly. I don't feel sad. I don't cry a lot. I feel rather emotionally distant other than the internal screaming. It kind of feel","As far as the formal diagnosis of depression goes, it would be hard to determine without more information. It sounds like you are noticing that there is a significant difference between how you are feeling on the inside and how you express yourself outwardly. Part of you is quite distressed and yet it remains invisible to the outside world, almost as if it is trapped inside of your body. Many people who are depressed experience such things as intrusive thoughts, emotional numbness, difficulty expressing the"
"As a child, my parents injured my brother, so they went to prison. I was there when he had gotten hurt, but I can't seem to remember. I also can't remember being with them quite well. It's a blur.","Sorry to hear of having witnessed violence within your family when you were very young.Your blocked memories are a self-protection from the enormous emotional pain and feeling de-stabilized by realizing that the people whom you expected to trust, are harmful.Already you are at the first step, which is to know that memories exist about the disturbing events concerning your brother.Probably the best way of finding your way back to those times, is by paying attention to all of who you are today.The more intent"
"I have not had a friend since I was 19. I don't go anywhere, and I have no job, all because I'm afraid of people.","Individual and/or group therapy can be a powerful antidote for social anxiety. Often in therapy, the things that tend to get in the way of our securing satisfying and lasting personal relationships will appear in some way in the therapy relationship and a competent therapist will be able to help you work through this anxiety, in a sensitive way, and eventually encourage you to seek out the personal relationships that you want. In group therapy, you have an opportunity to have a relationship not only with th"
I feel insecure in my life. I don't think my wife truly wants our relationship even though she says she does. I have turned to drinking to help relieve my repressed stress about this and other issues. I have had a drinking problem for a few years. I feel t,"Sorry hearing about the big amount of stress which you are feeling at this time.Since a lot of your stress is directed to uncertainty of whether your wife is happy being with you, would you consider continuing the conversation with her about your understanding of her answer to you?Your observation that she says one thing and behaves in a different way, is meaningful.Bringing your point to her attention would at the very least demonstrate her interest in showing and explaining her viewpoint about you.Basical"
